UserId,TargetEntity,StanceLabel
186791,Trump,Against
88089,Trump,Against
254114,Trump,Against
77504,Trump,Against
132412,Trump,Against
111658,Trump,Against
12476,Trump,Against
182701,Trump,Against
239303,Trump,Against
167205,Trump,Against
306583,Trump,Against
383865,Trump,Against
370339,Trump,Against
321546,Trump,Against
382224,Trump,Against
349475,Trump,Against
111790,Trump,Against
14035,Trump,Against
393875,Trump,Against
302557,Trump,Against
399620,Trump,Against
268949,Trump,Against
147062,Trump,Against
55147,Trump,Against
200416,Trump,Against
174974,Trump,Against
185362,Trump,Against
62114,Trump,Against
36303,Trump,Against
162915,Trump,Against
58227,Trump,Against
25185,Trump,Against
279029,Trump,Against
128457,Trump,Against
199373,Trump,Against
284558,Trump,Against
126773,Trump,Against
287245,Trump,Against
134305,Trump,Against
396258,Trump,Against
356491,Trump,Against
311034,Trump,Against
84510,Trump,Against
365921,Trump,Against
21317,Trump,Against
388172,Trump,Against
236831,Trump,Against
300802,Trump,Against
177137,Trump,Against
324406,Trump,Against
202767,Trump,Against
284552,Trump,Against
53002,Trump,Against
219367,Trump,Against
352721,Trump,Against
350741,Trump,Against
215601,Trump,Against
183749,Trump,Against
73585,Trump,Against
291058,Trump,Against
308963,Trump,Against
395539,Trump,Against
252648,Trump,Against
29412,Trump,Against
15169,Trump,Against
235706,Trump,Against
127253,Trump,Against
15556,Trump,Against
27762,Trump,Against
331369,Trump,Against
20303,Trump,Against
399428,Trump,Against
307234,Trump,Against
170064,Trump,Against
250778,Trump,Against
343594,Trump,Against
93667,Trump,Against
259941,Trump,Against
394856,Trump,Against
268404,Trump,Against
301788,Trump,Against
84421,Trump,Against
82237,Trump,Against
128489,Trump,Neither
49427,Trump,Against
233685,Trump,Against
50816,Trump,Against
245751,Trump,Against
304206,Trump,Against
156093,Trump,Against
122539,Trump,Against
32666,Trump,Against
83176,Trump,Against
306127,Trump,Against
299249,Trump,Against
146023,Trump,Neither
282965,Trump,Against
331387,Trump,Against
328337,Trump,Against
79334,Trump,Neither
377460,Trump,Neither
143620,Trump,Against
177894,Trump,Against
68797,Trump,Against
112602,Trump,Against
250645,Trump,Against
398120,Trump,Against
90231,Trump,Against
121751,Trump,Against
61621,Trump,Against
309092,Trump,Against
23445,Trump,Against
73133,Trump,Against
162969,Trump,Against
170858,Trump,Against
33522,Trump,Against
252874,Trump,Against
382997,Trump,Against
82202,Trump,Against
244800,Trump,Against
121006,Trump,Against
219237,Trump,Against
218082,Trump,Against
231091,Trump,Against
93182,Trump,Against
140461,Trump,Against
392571,Trump,Against
51757,Trump,Against
290256,Trump,Against
346916,Trump,Against
231234,Trump,Against
359026,Trump,Against
36371,Trump,Against
88937,Trump,Against
204795,Trump,Against
373654,Trump,Against
246907,Trump,Against
302476,Trump,Against
101076,Trump,Against
65027,Trump,Against
58455,Trump,Against
300863,Trump,Against
302453,Trump,Against
80495,Trump,Against
337795,Trump,Against
327395,Trump,Against
234907,Trump,Against
371799,Trump,Against
243480,Trump,Against
287391,Trump,Against
166314,Trump,Against
137575,Trump,Against
195964,Trump,Against
99134,Trump,Against
13886,Trump,Against
117141,Trump,Against
388854,Trump,Against
167824,Trump,Against
389657,Trump,Against
78295,Trump,Against
342202,Trump,Against
343890,Trump,Favor
45213,Trump,Against
187031,Trump,Against
125149,Trump,Against
389577,Trump,Against
170597,Trump,Against
242509,Trump,Against
248961,Trump,Against
322157,Trump,Against
376619,Trump,Neither
47129,Trump,Against
295486,Trump,Against
374931,Trump,Against
306480,Trump,Neither
393712,Trump,Against
355163,Trump,Against
44798,Trump,Against
310349,Trump,Neither
173733,Trump,Against
126825,Trump,Against
13855,Trump,Against
1318,Trump,Against
250120,Trump,Against
297222,Trump,Against
384161,Trump,Against
134424,Trump,Against
13798,Trump,Against
190469,Trump,Against
65790,Trump,Against
29880,Trump,Against
86285,Trump,Against
292525,Trump,Against
348509,Trump,Against
162582,Trump,Against
212098,Trump,Against
171626,Trump,Against
374740,Trump,Against
21940,Trump,Against
348071,Trump,Against
321271,Trump,Against
195237,Trump,Against
152964,Trump,Against
241838,Trump,Against
377479,Trump,Neither
196570,Trump,Against
258816,Trump,Against
287462,Trump,Against
269952,Trump,Against
143952,Trump,Against
92587,Trump,Neither
204662,Trump,Against
158867,Trump,Against
187541,Trump,Against
274596,Trump,Neither
303808,Trump,Against
156986,Trump,Against
100630,Trump,Against
14175,Trump,Against
387650,Trump,Against
149153,Trump,Against
48351,Trump,Against
81854,Trump,Against
7399,Trump,Against
307491,Trump,Against
188284,Trump,Against
124446,Trump,Against
274990,Trump,Against
65900,Trump,Against
252599,Trump,Against
127885,Trump,Neither
316763,Trump,Neither
194929,Trump,Against
29997,Trump,Against
69834,Trump,Against
255080,Trump,Against
166258,Trump,Against
94191,Trump,Against
19059,Trump,Against
191637,Trump,Against
287767,Trump,Against
318701,Trump,Against
29819,Trump,Against
322379,Trump,Against
226084,Trump,Against
91356,Trump,Against
318691,Trump,Against
114639,Trump,Against
137959,Trump,Against
184911,Trump,Against
4244,Trump,Against
263515,Trump,Neither
19207,Trump,Against
336096,Trump,Neither
289150,Trump,Against
213853,Trump,Against
5873,Trump,Against
107110,Trump,Against
279698,Trump,Against
74800,Trump,Neither
140640,Trump,Against
185146,Trump,Against
354147,Trump,Against
59272,Trump,Against
141034,Trump,Against
160845,Trump,Against
272540,Trump,Against
341476,Trump,Against
55695,Trump,Neither
65363,Trump,Against
333561,Trump,Against
110326,Trump,Against
17562,Trump,Against
354314,Trump,Neither
10737,Trump,Against
203514,Trump,Against
229697,Trump,Against
261936,Trump,Against
202240,Trump,Against
36045,Trump,Against
12134,Trump,Against
15989,Trump,Against
234815,Trump,Against
44218,Trump,Against
76270,Trump,Favor
314129,Trump,Against
353602,Trump,Against
182883,Trump,Against
119123,Trump,Against
76913,Trump,Against
324544,Trump,Against
286973,Trump,Against
114271,Trump,Against
147810,Trump,Neither
287134,Trump,Against
87576,Trump,Against
240927,Trump,Against
111226,Trump,Against
306310,Trump,Neither
318784,Trump,Against
51316,Trump,Against
158288,Trump,Against
265,Trump,Neither
396781,Trump,Against
327805,Trump,Against
81610,Trump,Against
45089,Trump,Against
13215,Trump,Against
85748,Trump,Against
212467,Trump,Against
86949,Trump,Against
97382,Trump,Against
679,Trump,Against
29191,Trump,Against
45282,Trump,Against
80688,Trump,Against
141415,Trump,Against
163414,Trump,Neither
189568,Trump,Favor
228404,Trump,Favor
238694,Trump,Neither
242914,Trump,Favor
243077,Trump,Against
249118,Trump,Against
251729,Trump,Against
300133,Trump,Against
303141,Trump,Against
313409,Trump,Against
323494,Trump,Against
328869,Trump,Against
347727,Trump,Against
351597,Trump,Against
358913,Trump,Neither
13103,Trump,Favor
19940,Trump,Against
24642,Trump,Favor
29564,Trump,Favor
70970,Trump,Against
78799,Trump,Favor
79097,Trump,Against
156501,Trump,Against
170547,Trump,Against
178965,Trump,Against
192735,Trump,Against
221683,Trump,Against
266251,Trump,Favor
312902,Trump,Neither
325583,Trump,Against
339718,Trump,Against
186791,Harris,Favor
88089,Harris,Against
254114,Harris,Favor
132412,Harris,Favor
7049,Harris,Favor
111658,Harris,Neither
182701,Harris,Favor
239303,Harris,Favor
167205,Harris,Favor
306583,Harris,Neither
383865,Harris,Favor
370339,Harris,Favor
321546,Harris,Favor
382224,Harris,Favor
349475,Harris,Favor
292644,Harris,Favor
14035,Harris,Neither
393875,Harris,Neither
302557,Harris,Neither
399620,Harris,Neither
268949,Harris,Favor
147062,Harris,Favor
200416,Harris,Favor
315988,Harris,Neither
379998,Harris,Favor
174974,Harris,Favor
185362,Harris,Favor
62114,Harris,Favor
306615,Harris,Favor
36303,Harris,Neither
152806,Harris,Neither
141557,Harris,Favor
162915,Harris,Neither
58227,Harris,Favor
127080,Harris,Neither
97892,Harris,Favor
260609,Harris,Neither
96224,Harris,Favor
279029,Harris,Neither
